(0, 1, 2, 3, 4, 5, 6) : [(4956350808526882103), (4665103756170311014), (2879289109038866704), (11279794763508077807), (17536089927571604939), (13741015968529866384)]
(0, 1, 2, 3, 4, 5, 7) : [(10237959967116841113), (18064263092105378771), (10851096527413789968), (11614308219342252650), (18006113497905605890), (13561665458283758349)]
(0, 1, 2, 3, 4, 5, 8) : [(15345923676370113950), (15771416913268439205), (7328597717234196912), (14951082729797008661), (17621996816318266971), (2197220445918080219)]
(0, 1, 2, 3, 4, 5, 9) : [(10660577398576258518), (8906982547097511790), (5244600752599358022), (3817521751049186899), (7840172112785340048), (3268439939134554643)]
(0, 1, 2, 3, 4, 5, 10) : [(17287815777728411933), (2677837582611081272), (17678545296117733328), (13939321662293854630), (10821092064456734393), (12262236902938840406)]
(0, 1, 2, 3, 4, 5, 11) : [(11807429921459807806), (11935725017270685866), (13001450345696295844), (12286802146319583268), (10851943165073485760), (13665810940804281583)]
(0, 1, 2, 3, 4, 5, 12) : [(16702033588415285454), (9799536172288437009), (1306391525558695466), (4480380500192774915), (8672972171766393540), (14683271048643121180)]
(0, 1, 2, 3, 4, 5, 13) : [(17607162451215752087), (16644066418550741967), (18254170921666376795), (8293354632736126339), (15783906034018191861), (9227149572248303492)]
(0, 1, 2, 3, 4, 5, 14) : [(5559386951607798369), (4787748061364093173), (10091525194690472141), (11799733298166264147), (4431089093065991791), (3364023109032795452)]
(0, 1, 2, 3, 4, 5, 15) : [(13202118564179492605), (9842889143023358723), (18365705452023160704), (7631198354371747470), (4153733170803292195), (2453535919451202082)]
(0, 1, 2, 3, 4, 6, 7) : [(249938713714390975), (10243167890393101733), (17803334824647247062), (4062486557154198102), (7810080191707516939), (4603790802306002257)]
(0, 1, 2, 3, 4, 6, 8) : [(11329972539451425979), (13191415908229106665), (11391731313751274811), (13405293157557655682), (16688972676005770399), (12852394826991479315)]
(0, 1, 2, 3, 4, 6, 9) : [(13939109730633210457), (17213028978273843341), (8909104978917099643), (9768463288829192614), (13461048344082051935), (6540229610831260437)]
(0, 1, 2, 3, 4, 6, 10) : [(6013056626721126882), (14509830935406319092), (15283916911216109187), (10161037469842422806), (11609642036585935844), (1836810797467004823)]
(0, 1, 2, 3, 4, 6, 11) : [(11160327417155531739), (349808283253455172), (3413166107032161542), (2563833603186212643), (12728114161698663555), (1056220162623292721)]
(0, 1, 2, 3, 4, 6, 12) : [(11272510024514580861), (13600028592904458432), (1391309256936383876), (13481908206463177977), (9995065622443691284), (2065896006295079146)]
(0, 1, 2, 3, 4, 6, 13) : [(13680387535720655306), (3765463316298053808), (6187656165295042667), (15813272299537934661), (14008151553724759475), (10743146893331749044)]
(0, 1, 2, 3, 4, 6, 14) : [(10186200088628046837), (18052124535484839313), (4586719824081923399), (16277946378925472034), (17592750353070549420), (6720662629375364426)]
(0, 1, 2, 3, 4, 6, 15) : [(8519823082454600206), (18403122458369337588), (5836704399557094215), (1489008090312592564), (5765701416712409635), (329237122088872118)]
(0, 1, 2, 3, 4, 7, 8) : [(11498429819941718297), (3294237947533701453), (10582751149833443646), (4209667445676272410), (17040514870011817506), (12265972924533398191)]
(0, 1, 2, 3, 4, 7, 9) : [(8731709784353587183), (9900186238463502462), (4960881852522142160), (8246997808047489918), (13501793943375754401), (1520892129899851537)]
(0, 1, 2, 3, 4, 7, 10) : [(10128323366635053039), (12484720086927569035), (3319627534895252588), (6531579506998234294), (10792998730836325832), (10417274556219237836)]
(0, 1, 2, 3, 4, 7, 11) : [(4692171528259949910), (12720363207741230120), (6555897975049918454), (10320377407470535238), (11726927100072684459), (17819679217461702471)]
(0, 1, 2, 3, 4, 7, 12) : [(8205624348835418836), (13991670163281897575), (15023242443639633654), (4596874284027382918), (13580636015965210256), (3631201479634974541)]
(0, 1, 2, 3, 4, 7, 13) : [(15011274602326150983), (15855625253678743150), (4703325725776248623), (848088388977372732), (15672407744392815204), (4438093646977377785)]
(0, 1, 2, 3, 4, 7, 14) : [(7818243531570721247), (16945676216903777568), (15354567670253348359), (6387921877120346011), (16655652847084251253), (15017664397055712878)]
(0, 1, 2, 3, 4, 7, 15) : [(12072847903057321042), (12876259599638083886), (16559357871524012231), (6647768352408857088), (4972107475672650286), (1770113863742566795)]
(0, 1, 2, 3, 4, 8, 9) : [(13328142548656265214), (16485707677334607267), (4008514118419123753), (15733574178223550756), (15044899541036239586), (18408802263375541144)]
(0, 1, 2, 3, 4, 8, 10) : [(3354423186176222072), (9055126183633945137), (3629800259972476613), (3098190495082321072), (3443538430404354746), (17845773005636751336)]
(0, 1, 2, 3, 4, 8, 11) : [(2254622106963544420), (17689066959185608091), (2148007605898169811), (797138441381529041), (13321276644872592403), (17184210239863348424)]
(0, 1, 2, 3, 4, 8, 12) : [(579300052413619250), (6730046566045962599), (9938550182041029787), (15209729568168377555), (16590304802231213337), (4348969002417433178)]
(0, 1, 2, 3, 4, 8, 13) : [(850505075479460281), (5205706677867604036), (7832774581669232589), (11418445172415869500), (14815343936464918762), (1650439002207091540)]
(0, 1, 2, 3, 4, 8, 14) : [(11423389774314433509), (15860836051874620889), (317535344804332870), (5698044104631049163), (16671071437529435858), (17049638517918219076)]
(0, 1, 2, 3, 4, 8, 15) : [(14602134091537741353), (3811397191421843155), (6619028873717144524), (6836357665950010254), (10286474520017080207), (9599005595489202291)]
(0, 1, 2, 3, 4, 9, 10) : [(14506381176020931086), (5997021703552562650), (731076133202299912), (10249505523690708677), (2064289838531912799), (1731503955771853433)]
(0, 1, 2, 3, 4, 9, 11) : [(1971221430855629603), (13959529862859435000), (13474071806636096849), (676669551624231483), (8626449402541223077), (6174097161785314987)]
(0, 1, 2, 3, 4, 9, 12) : [(12756246709215305376), (279054213698754121), (16125988758612343045), (12818034231060556517), (9493903897475634941), (7749564983801838527)]
(0, 1, 2, 3, 4, 9, 13) : [(12079262745506205353), (10528839293091680139), (13086775998741560645), (15946832699607783436), (11991335190034858848), (6062650335372162865)]
(0, 1, 2, 3, 4, 9, 14) : [(7749977548519951523), (6400741285689699382), (4999729422109050602), (403717286507026045), (2201555062136857387), (1249529960804461596)]
(0, 1, 2, 3, 4, 9, 15) : [(16946599216121460113), (8836476453058291540), (9447103523751556536), (3682135713967528257), (15418427375338260664), (12950494454940788486)]
(0, 1, 2, 3, 4, 10, 11) : [(14354009101251591149), (3471053890011847882), (18373024660305562357), (12532223199092289850), (3829490619248044889), (13433266565089872621)]
(0, 1, 2, 3, 4, 10, 12) : [(2011655481306653116), (13571952786068797040), (12629793741144778085), (3666877714046904633), (5319484227514309794), (11721796953198936890)]
(0, 1, 2, 3, 4, 10, 13) : [(5512556705437812616), (1593132452940561774), (8215977571370850818), (15071459431491266178), (15753310224991299856), (17564957524213473805)]
(0, 1, 2, 3, 4, 10, 14) : [(15600854468571988605), (6072313502911433564), (1750052210998407870), (13089887574054830132), (10404321034962422649), (6946469395271231962)]
(0, 1, 2, 3, 4, 10, 15) : [(14406154174541269475), (13034061214142873198), (6627365986740952436), (9551425991067427155), (4098682674393097161), (10638076420064896842)]
(0, 1, 2, 3, 4, 11, 12) : [(5037801763925407146), (12178230793499435435), (12655684227031640900), (14530513739680201532), (4306587711812323720), (16501502853048891251)]
(0, 1, 2, 3, 4, 11, 13) : [(3493396432381597259), (5935348338467040839), (13881894722140939950), (1689290832390501543), (1976898821293654163), (3592575519654785491)]
(0, 1, 2, 3, 4, 11, 14) : [(8643008773247458348), (9930356234578000793), (14687391960821317842), (15656841183049223883), (1273781547520896747), (1181011791962768559)]
(0, 1, 2, 3, 4, 11, 15) : [(5554130383609506586), (896210917004291976), (15351455618975573667), (4177569171769785782), (17722903651077864631), (17550080652260412122)]
(0, 1, 2, 3, 4, 12, 13) : [(9178568056795620023), (4805736895100834586), (3814756885660785940), (1682034064854922429), (15315147308526748159), (3388891933304612432)]
(0, 1, 2, 3, 4, 12, 14) : [(18217931542488415719), (874976556139985725), (10543605104750237215), (17444670791171101045), (14714085929215934367), (1340938908256023365)]
(0, 1, 2, 3, 4, 12, 15) : [(17778554043256958536), (4692889422752068556), (8675470806828709379), (2274839614961404315), (16303143083130240309), (10983652479038135063)]
(0, 1, 2, 3, 4, 13, 14) : [(5840744180163066409), (10145558163615937461), (11737010660215935465), (13990228680719407947), (5162398237979923122), (8180716404895929406)]
(0, 1, 2, 3, 4, 13, 15) : [(5280303052262077894), (8347061262072082678), (17949176496201450081), (4626952875739755604), (10641633930608311289), (13723133132505965985)]
(0, 1, 2, 3, 4, 14, 15) : [(5797007280623749416), (15833521239191550516), (16588756202829821998), (10833442016349607123), (9824352228901415978), (13838520371502298498)]
(0, 1, 2, 3, 5, 6, 7) : [(9093974649748906756), (16386057567069619677), (6853542014421586212), (12274695305935048159), (13016402901278383609), (8303822033060773801)]
(0, 1, 2, 3, 5, 6, 8) : [(9815649356368289538), (4126285472122402535), (429414214580479082), (15471875469497153122), (4818030359381545799), (2590878886549901290)]
(0, 1, 2, 3, 5, 6, 9) : [(13572384150893478932), (3480883879633030852), (7620235117303783196), (18334238162761635322), (15268566116600507230), (6168273630853356537)]
(0, 1, 2, 3, 5, 6, 10) : [(12364262455635691753), (2329986219524030458), (364797131920395319), (3717499897918135526), (2213088012363873995), (6326241652577161227)]
(0, 1, 2, 3, 5, 6, 11) : [(6822006363584894949), (1089828259654813098), (12586602045405753120), (15376464228393652822), (535284057761674265), (12652147341559335275)]
(0, 1, 2, 3, 5, 6, 12) : [(17599540231098272888), (332372568833997104), (15671137865501754480), (4692758106903769099), (5518314826016560085), (7328634522437366461)]
(0, 1, 2, 3, 5, 6, 13) : [(8647651830970028641), (1905255087128649057), (8580832570773021332), (12316630124499644434), (17240056620888896046), (1426129942493114854)]
(0, 1, 2, 3, 5, 6, 14) : [(10431939149509949845), (10243918180303082685), (13724509552399002992), (7008947879350006631), (7318349394648213803), (12974495991233017292)]
(0, 1, 2, 3, 5, 6, 15) : [(9845630631390151968), (7928811186692029396), (16867999625153171322), (16132779684275504295), (12055407452518031807), (6523999916416556909)]
(0, 1, 2, 3, 5, 7, 8) : [(16449010415422069507), (3878123699891674967), (16617707663082275989), (9424481597290243422), (176635386535081732), (3099664506865267368)]
(0, 1, 2, 3, 5, 7, 9) : [(9328525275235834087), (17135737202355438068), (18022670900891625766), (8682214333154307109), (13351787752348349111), (5150384562629379548)]
(0, 1, 2, 3, 5, 7, 10) : [(7797288369040441572), (3484472799511017468), (15285142370812079923), (3346859328472067456), (12912044871465647066), (8985197558965851180)]
(0, 1, 2, 3, 5, 7, 11) : [(10055280820244091314), (15532128169000583624), (13952671616047258587), (15357362706221122360), (147525290092511162), (733629890062914573)]
(0, 1, 2, 3, 5, 7, 12) : [(14934399996747321744), (14477369441839426066), (13365742275844065164), (8290830500766055290), (17121694637229072866), (8931343821281478937)]
(0, 1, 2, 3, 5, 7, 13) : [(12696637179487845623), (16057026907820784755), (8443483128415549312), (3047421704206129233), (4636696869969075768), (1746842263991379414)]
(0, 1, 2, 3, 5, 7, 14) : [(10052232199259541757), (8896012796089058677), (10464264193018545438), (2080536136957082470), (10720601378188349183), (17897009746387345636)]
(0, 1, 2, 3, 5, 7, 15) : [(9189574339566954629), (11231695042440505357), (17773463514380045925), (15072059514360011227), (9590557541653844511), (17502649893596399846)]
